,Published Date,Account,Account Type,Campaign Name,Total Impressions,Total Engagements,Media Type,Engagement_Rate
901,2023-03-09 07:11:10.049,General,LINKEDIN_COMPANY,Community Engagement ,1571,20,Text,1.273074474856779
902,2023-03-09 06:06:11.000,General ,INSTAGRAM,Evil Exhibited ,6506,72,Video,1.1066707654472794
903,2023-03-09 06:00:07.000,General ,TIKTOK_BUSINESS,Evil Exhibited ,441,7,Video,1.5873015873015872
904,2023-03-08 19:20:48.613,CSGO,TWITTER,Community Engagement ,3219,103,Photo,3.1997514756135446
905,2023-03-08 17:44:52.757,CSGO,TWITTER,Community Engagement ,2123,31,Photo,1.460197833254828
906,2023-03-08 16:51:30.612,CSGO,TWITTER,Community Engagement ,2791,77,Photo,2.7588677893228235
907,2023-03-08 16:14:58.676,DOTA2,TWITTER,Evil Exhibited ,1572,37,Photo,2.3536895674300253
909,2023-03-08 15:56:41.000,General ,INSTAGRAM,Community Engagement ,9926,0,Photo,0.0
910,2023-03-08 15:02:22.000,General ,INSTAGRAM,Evergreen ,28146,981,Video,3.4853975698145385
911,2023-03-08 15:02:06.000,General ,TIKTOK_BUSINESS,Evergreen ,1712,107,Video,6.25
912,2023-03-08 12:30:09.366,Content Creators,YOUTUBE,Community Engagement ,54,7,Video,12.962962962962962
913,2023-03-08 12:30:04.116,Valorant,YOUTUBE,Evil Exhibited ,28,1,Video,3.571428571428571
914,2023-03-08 12:17:03.000,General ,YOUTUBE,N/A ,1762,39,Video,2.213393870601589
915,2023-03-08 11:43:43.000,Content Creators,YOUTUBE,N/A ,929,45,Video,4.843918191603875
916,2023-03-08 11:41:09.000,General ,INSTAGRAM,Evil Exhibited ,7048,153,Photo,2.170828603859251
918,2023-03-08 11:40:53.012,General ,TWITTER,Evil Exhibited ,22840,396,Photo,1.7338003502626969
919,2023-03-08 10:00:06.767,General,LINKEDIN_COMPANY,Community Engagement ,1161,32,Photo,2.756244616709733
920,2023-03-08 10:00:05.353,General ,TWITTER,Evil Exhibited ,85655,3810,Photo,4.448076586305528
921,2023-03-08 06:05:59.000,General ,INSTAGRAM,Evil Exhibited ,6700,82,Video,1.2238805970149254
922,2023-03-08 06:00:09.000,General ,TIKTOK_BUSINESS,Evil Exhibited ,196070,9680,Video,4.937012291528536
923,2023-03-07 21:00:07.076,General ,YOUTUBE,Evergreen ,341,6,Video,1.7595307917888565
924,2023-03-07 14:53:18.692,General ,TWITTER,Community Engagement ,1451,63,Text,4.34183321847002
926,2023-03-07 12:39:21.188,General ,TWITTER,Evil Exhibited ,2388,225,Photo,9.42211055276382
927,2023-03-07 12:30:06.877,Valorant,YOUTUBE,Evil Exhibited ,53,5,Video,9.433962264150944
928,2023-03-07 11:39:39.244,General,LINKEDIN_COMPANY,Community Engagement ,1703,40,Link,2.3487962419260127
929,2023-03-07 11:30:41.556,General ,TWITTER,Community Engagement ,18945,496,Photo,2.618105040907891
930,2023-03-07 11:16:16.523,DOTA2,TWITTER,N/A ,2141,58,Text,2.70901447921532
931,2023-03-07 11:00:33.000,General ,INSTAGRAM,Evergreen ,13619,204,Video,1.4979073353403334
932,2023-03-07 11:00:06.000,General ,TIKTOK_BUSINESS,Evergreen ,1365,53,Video,3.8827838827838828
934,2023-03-07 09:37:15.000,Content Creators,YOUTUBE,N/A ,807,36,Video,4.4609665427509295
935,2023-03-07 09:30:50.000,Content Creators,YOUTUBE,N/A ,1643,53,Video,3.225806451612903
937,2023-03-07 09:12:15.000,General ,INSTAGRAM,Evergreen ,23484,577,Video,2.4569919945494805
938,2023-03-07 09:00:10.000,General ,TIKTOK_BUSINESS,Evergreen ,288,6,Video,2.083333333333333
939,2023-03-07 06:06:12.000,General ,INSTAGRAM,Evil Exhibited ,8826,91,Video,1.0310446408338998
940,2023-03-07 06:00:08.000,General ,TIKTOK_BUSINESS,Evil Exhibited ,3064,86,Video,2.8067885117493474
941,2023-03-06 16:32:32.144,General ,TWITTER,Community Engagement ,17157,178,Photo,1.0374774144663985
942,2023-03-06 16:08:12.000,General ,YOUTUBE,N/A ,4338,72,Video,1.6597510373443984
943,2023-03-06 16:08:11.000,General ,YOUTUBE,N/A ,1562,44,Video,2.8169014084507045
944,2023-03-06 15:24:56.584,General ,TWITTER,Evil Exhibited ,1503,22,Text,1.4637391882900865
945,2023-03-06 15:15:44.935,DOTA2,TWITTER,N/A ,4062,172,Link,4.234367306745446
946,2023-03-06 15:14:39.711,DOTA2,TWITTER,N/A ,8332,73,Text,0.8761401824291887
947,2023-03-06 14:54:54.726,General ,TWITTER,Community Engagement ,13635,82,Photo,0.6013934726806014
949,2023-03-06 14:00:48.000,General ,INSTAGRAM,Evil Exhibited ,15742,296,Video,1.8803201626222843
950,2023-03-06 13:57:14.000,General ,TIKTOK_BUSINESS,Evil Exhibited ,1377,99,Video,7.18954248366013
952,2023-03-06 12:30:05.324,Valorant,YOUTUBE,Evil Exhibited ,43,4,Video,9.30232558139535
953,2023-03-06 12:12:12.505,DOTA2,TWITTER,N/A ,64,1,Text,1.5625
954,2023-03-06 10:18:35.904,General ,TWITTER,Community Engagement ,298,13,Text,4.3624161073825505
956,2023-03-06 08:43:11.357,DOTA2,TWITTER,N/A ,5163,180,Text,3.4863451481696686
957,2023-03-06 06:06:04.000,General ,INSTAGRAM,Evil Exhibited ,7670,100,Video,1.303780964797914
958,2023-03-06 06:00:08.000,General ,TIKTOK_BUSINESS,Evil Exhibited ,2789,130,Video,4.661168877733955
959,2023-03-05 16:49:53.367,General ,TWITTER,Community Engagement ,18989,644,Video,3.3914371478224234
960,2023-03-05 16:47:30.120,General ,TWITTER,Community Engagement ,16300,87,Photo,0.5337423312883436
961,2023-03-05 16:42:16.554,DOTA2,TWITTER,Community Engagement ,6235,310,Text,4.971932638331997
962,2023-03-05 16:42:16.000,General ,FBPAGE,Community Engagement ,54894,11330,Text,20.639778482165628
963,2023-03-05 15:53:28.875,General ,TWITTER,Community Engagement ,1161,29,Video,2.4978466838931954
964,2023-03-05 15:17:57.668,General ,TWITTER,Community Engagement ,24241,398,Photo,1.6418464584794357
965,2023-03-05 15:11:52.815,General ,TWITTER,Community Engagement ,13752,64,Photo,0.4653868528214078
966,2023-03-05 12:30:07.378,Valorant,YOUTUBE,Evil Exhibited ,488,21,Video,4.30327868852459
968,2023-03-05 06:00:49.000,General ,INSTAGRAM,Evil Exhibited ,9387,114,Video,1.214445509747523
969,2023-03-05 06:00:13.000,General ,TIKTOK_BUSINESS,Evil Exhibited ,466,12,Video,2.575107296137339
970,2023-03-04 18:18:21.062,General ,TWITTER,Community Engagement ,1148,4,Text,0.34843205574912894
971,2023-03-04 18:17:36.293,General ,TWITTER,Community Engagement ,21106,452,Photo,2.141571117217853
972,2023-03-04 17:54:17.462,General ,TWITTER,Community Engagement ,19577,750,Video,3.8310262042192367
973,2023-03-04 16:50:10.314,General ,TWITTER,Community Engagement ,15999,280,Photo,1.7501093818363647
974,2023-03-04 15:47:42.295,DOTA2,TWITTER,N/A ,1129,14,Text,1.2400354295837024
975,2023-03-04 14:34:56.120,DOTA2,TWITTER,N/A ,1596,174,Video,10.902255639097744
976,2023-03-04 13:58:02.077,DOTA2,TWITTER,N/A ,2128,259,Video,12.171052631578947
977,2023-03-04 12:30:09.480,Content Creators,YOUTUBE,Community Engagement ,37,9,Video,24.324324324324326
978,2023-03-04 12:30:03.863,Valorant,YOUTUBE,Evil Exhibited ,76,7,Video,9.210526315789473
979,2023-03-04 11:27:48.862,General ,TWITTER,Evil Exhibited ,7019,101,Video,1.438951417580852
980,2023-03-04 10:21:21.399,DOTA2,TWITTER,N/A ,1884,147,Video,7.802547770700636
981,2023-03-04 10:01:53.486,DOTA2,TWITTER,N/A ,83,6,Text,7.228915662650602
982,2023-03-04 10:00:01.880,General ,TWITTER,Evil Exhibited ,107804,2444,Photo,2.267077288412304
984,2023-03-04 08:25:26.153,DOTA2,TWITTER,N/A ,1430,125,Video,8.741258741258742
985,2023-03-04 06:44:27.478,DOTA2,TWITTER,N/A ,1451,50,Text,3.445899379738112
986,2023-03-04 06:00:46.000,General ,INSTAGRAM,Evil Exhibited ,8498,94,Video,1.1061426217933632
987,2023-03-04 06:00:07.000,General ,TIKTOK_BUSINESS,Evil Exhibited ,970,37,Video,3.814432989690722
988,2023-03-03 20:00:14.000,General ,INSTAGRAM,Community Engagement ,13020,276,Photo,2.1198156682027647
989,2023-03-03 20:00:02.410,General ,TWITTER,Community Engagement ,22708,1101,Photo,4.848511537784041
990,2023-03-03 19:37:43.873,DOTA2,TWITTER,N/A ,659,39,Text,5.918057663125948
991,2023-03-03 19:10:10.342,DOTA2,TWITTER,N/A ,3990,488,Text,12.230576441102757
992,2023-03-03 19:04:19.185,General ,TWITTER,Community Engagement ,3205,162,Video,5.054602184087364
993,2023-03-03 19:02:53.000,General ,INSTAGRAM,Community Engagement ,7327,0,Photo,0.0
994,2023-03-03 19:01:05.026,DOTA2,TWITTER,N/A ,739,21,Text,2.841677943166441
995,2023-03-03 18:55:14.302,DOTA2,TWITTER,Community Engagement ,24258,1098,Photo,4.526341825377195
996,2023-03-03 18:55:13.000,General ,FBPAGE,Community Engagement ,140548,38921,Photo,27.692318638472262
997,2023-03-03 18:51:15.340,DOTA2,TWITTER,Community Engagement ,9258,690,Photo,7.453013609850939
999,2023-03-03 18:50:49.000,General ,INSTAGRAM,Community Engagement ,8413,0,Photo,0.0
1000,2023-03-03 18:49:20.352,General ,TWITTER,Community Engagement ,70460,4542,Photo,6.446210615952314
1001,2023-03-03 18:49:20.000,General ,FBPAGE,Community Engagement ,47413,10977,Photo,23.15187817687132
1003,2023-03-03 18:35:36.165,DOTA2,TWITTER,Community Engagement ,1891,193,Video,10.206240084611316
1004,2023-03-03 18:35:15.000,General ,FBPAGE,Community Engagement ,23295,3543,Video,15.209272376046362
1005,2023-03-03 18:22:43.191,DOTA2,TWITTER,N/A ,2861,257,Photo,8.982873121286264
1006,2023-03-03 18:14:51.874,DOTA2,TWITTER,Community Engagement ,1615,152,Video,9.411764705882353
1007,2023-03-03 18:14:35.000,General ,FBPAGE,Community Engagement ,18721,1400,Video,7.478233000373911
1008,2023-03-03 18:13:22.057,General ,TWITTER,Community Engagement ,24340,1244,Video,5.110928512736237
1009,2023-03-03 18:12:48.000,General ,FBPAGE,Community Engagement ,21922,1695,Video,7.731958762886598
1010,2023-03-03 18:08:32.101,DOTA2,TWITTER,Community Engagement ,1103,37,Text,3.3544877606527654
1011,2023-03-03 18:08:32.000,General ,FBPAGE,Community Engagement ,33717,2593,Text,7.690482545896729
1012,2023-03-03 17:52:17.757,General ,TWITTER,Community Engagement ,16021,239,Photo,1.491792022969852
1013,2023-03-03 17:52:11.000,General ,FBPAGE,Community Engagement ,17399,1249,Video,7.1785734812345545
1017,2023-03-03 17:39:06.000,General ,INSTAGRAM,Community Engagement ,8234,0,Video,0.0
1019,2023-03-03 17:38:15.000,General ,FBPAGE,Community Engagement ,27764,3441,Text,12.393747298660134
1020,2023-03-03 17:38:02.190,DOTA2,TWITTER,Community Engagement ,2683,95,Photo,3.5408125232948193
1021,2023-03-03 17:37:18.190,General ,TWITTER,Community Engagement ,22406,165,Text,0.73640989020798
1022,2023-03-03 17:28:21.000,General ,INSTAGRAM,Community Engagement ,8323,0,Video,0.0
1024,2023-03-03 17:24:34.000,General ,INSTAGRAM,Community Engagement ,8457,0,Video,0.0
1025,2023-03-03 17:22:50.223,DOTA2,TWITTER,Community Engagement ,2679,154,Photo,5.748413587159388
1026,2023-03-03 17:22:49.000,General ,FBPAGE,Community Engagement ,42921,8930,Photo,20.805666223992915
1027,2023-03-03 16:47:00.360,DOTA2,TWITTER,N/A ,5254,84,Text,1.598781880472021
1029,2023-03-03 16:44:12.860,DOTA2,TWITTER,N/A ,992,9,Text,0.9072580645161291
1030,2023-03-03 16:43:16.420,General ,TWITTER,Community Engagement ,3863,189,Video,4.892570541030287
1032,2023-03-03 16:41:50.544,General ,TWITTER,Community Engagement ,16323,384,Photo,2.352508730012865
1036,2023-03-03 16:40:22.393,DOTA2,TWITTER,Community Engagement ,36492,4051,Photo,11.101063246739011
1038,2023-03-03 16:35:20.829,General ,TWITTER,Community Engagement ,18869,436,Photo,2.310668291907361
1039,2023-03-03 16:31:49.824,General ,TWITTER,Community Engagement ,23676,1451,Video,6.128569015036324
1040,2023-03-03 16:31:07.000,General ,FBPAGE,Community Engagement ,39584,4199,Video,10.607821341956345
1041,2023-03-03 16:29:26.544,DOTA2,TWITTER,Community Engagement ,5561,316,Photo,5.682431217406942
1042,2023-03-03 16:29:26.000,General ,FBPAGE,Community Engagement ,32758,5622,Photo,17.162219915745773
1043,2023-03-03 16:27:40.760,DOTA2,TWITTER,Community Engagement ,3035,365,Video,12.026359143327841
1044,2023-03-03 16:27:23.000,General ,FBPAGE,Community Engagement ,16784,2716,Video,16.182078169685415
1045,2023-03-03 16:25:37.433,General ,TWITTER,Community Engagement ,12027,395,Video,3.2842770433191983
1046,2023-03-03 16:22:33.836,DOTA2,TWITTER,N/A ,562,9,Text,1.601423487544484
1047,2023-03-03 16:12:35.000,General ,INSTAGRAM,Community Engagement ,8775,0,Video,0.0
1048,2023-03-03 16:11:50.769,DOTA2,TWITTER,Community Engagement ,4918,285,Text,5.795038633590891
1049,2023-03-03 16:11:50.000,General ,FBPAGE,Community Engagement ,31978,4377,Text,13.68753518043655
1050,2023-03-03 16:09:49.361,General ,TWITTER,Community Engagement ,300,9,Video,3.0
1051,2023-03-03 16:08:44.174,DOTA2,TWITTER,N/A ,1081,65,Text,6.01295097132285
1053,2023-03-03 16:01:34.554,DOTA2,TWITTER,N/A ,649,28,Text,4.314329738058552
1054,2023-03-03 16:00:02.570,General ,TWITTER,Community Engagement ,3780,236,Video,6.243386243386243
1055,2023-03-03 15:58:33.545,General ,TWITTER,Community Engagement ,12942,227,Photo,1.7539792922268582
1056,2023-03-03 15:51:58.559,General ,TWITTER,Community Engagement ,10818,85,Photo,0.7857274912183397
1057,2023-03-03 15:24:53.000,General ,FBPAGE,Community Engagement ,21833,2340,Photo,10.717720881234829
1058,2023-03-03 15:24:52.485,DOTA2,TWITTER,Community Engagement ,5739,195,Photo,3.3978044955567173
1059,2023-03-03 15:24:32.000,General ,INSTAGRAM,Community Engagement ,9173,0,Photo,0.0
1060,2023-03-03 15:24:31.000,General ,FBPAGE,Community Engagement ,13240,333,Photo,2.515105740181269
1061,2023-03-03 15:24:30.466,General ,TWITTER,Community Engagement ,13811,289,Photo,2.0925349359206433
1063,2023-03-03 13:40:03.905,General ,TWITTER,Community Engagement ,1963,33,Text,1.6811003565970453
1064,2023-03-03 13:35:41.000,Content Creators,YOUTUBE,N/A ,2142,38,Video,1.7740429505135387
1065,2023-03-03 13:17:20.000,Content Creators,YOUTUBE,N/A ,1713,39,Video,2.276707530647986
1066,2023-03-03 13:01:15.485,General ,TWITTER,Evil Exhibited ,22090,949,Video,4.296061566319602
1067,2023-03-03 12:30:27.000,General ,INSTAGRAM,Evil Exhibited ,14487,225,Video,1.5531165872851522
1068,2023-03-03 12:30:06.000,General ,TIKTOK_BUSINESS,Evil Exhibited ,4605,189,Video,4.1042345276872965
1069,2023-03-03 11:58:28.791,DOTA2,TWITTER,N/A ,273,6,Text,2.197802197802198
1070,2023-03-03 11:58:02.469,DOTA2,TWITTER,N/A ,230,10,Text,4.3478260869565215
1071,2023-03-03 11:10:55.435,DOTA2,TWITTER,Community Engagement ,12330,641,Photo,5.1987023519870235
1073,2023-03-03 11:02:14.000,General ,INSTAGRAM,Community Engagement ,10503,0,Photo,0.0
1074,2023-03-03 11:01:32.000,General ,INSTAGRAM,Community Engagement ,56508,4577,Photo,8.099738090181921
1075,2023-03-03 11:00:02.800,General ,TWITTER,Community Engagement ,57957,2007,Photo,3.462912159014442
1076,2023-03-03 11:00:02.000,General ,FBPAGE,Community Engagement ,28042,3687,Photo,13.148134940446473
1077,2023-03-03 10:47:09.000,General ,INSTAGRAM,Community Engagement ,11209,0,Photo,0.0
1078,2023-03-03 10:45:05.570,DOTA2,TWITTER,N/A ,1649,70,Text,4.244996967859309
1081,2023-03-03 10:41:44.184,DOTA2,TWITTER,Community Engagement ,14379,716,Photo,4.979483969678002
1082,2023-03-03 10:41:44.000,General ,FBPAGE,Community Engagement ,58859,16292,Photo,27.679709135391363
1083,2023-03-03 10:40:35.000,General ,FBPAGE,Community Engagement ,23504,2171,Photo,9.236725663716815
1084,2023-03-03 10:40:31.577,General ,TWITTER,Community Engagement ,32524,1091,Photo,3.3544459476079203
1085,2023-03-03 10:39:41.296,DOTA2,TWITTER,Community Engagement ,5503,803,Video,14.59204070506996
1086,2023-03-03 10:39:33.764,General ,TWITTER,Community Engagement ,18874,1591,Video,8.429585673413161
1087,2023-03-03 10:39:19.000,General ,FBPAGE,Community Engagement ,39749,10084,Video,25.36919167777806
1088,2023-03-03 10:38:55.000,General ,FBPAGE,Community Engagement ,99038,13938,Video,14.073385973060844
1089,2023-03-03 10:34:32.913,DOTA2,TWITTER,N/A ,4197,279,Photo,6.647605432451751
1090,2023-03-03 10:27:03.000,Valorant,YOUTUBE,Evil Exhibited ,522,35,Video,6.704980842911877
1091,2023-03-03 09:44:30.461,General ,TWITTER,Community Engagement ,36500,274,Text,0.7506849315068493
1092,2023-03-03 09:42:55.757,DOTA2,TWITTER,Community Engagement ,4452,246,Photo,5.525606469002695
1093,2023-03-03 09:42:54.000,General ,FBPAGE,Community Engagement ,32047,6332,Photo,19.758479732892315
1095,2023-03-03 09:29:02.325,DOTA2,TWITTER,N/A ,967,31,Text,3.205791106514995
1096,2023-03-03 09:28:38.089,DOTA2,TWITTER,N/A ,1793,97,Text,5.409927495817066
1099,2023-03-03 09:23:39.000,General ,FBPAGE,Community Engagement ,24127,4912,Video,20.358933974385543
1100,2023-03-03 09:21:22.298,DOTA2,TWITTER,N/A ,6900,1040,Mixed,15.072463768115943
1101,2023-03-03 09:19:58.601,General ,TWITTER,Community Engagement ,15259,836,Video,5.478733861983092
1102,2023-03-03 09:19:20.000,General ,FBPAGE,Community Engagement ,20187,2892,Video,14.326051419230199
1103,2023-03-03 09:17:11.530,DOTA2,TWITTER,N/A ,2636,196,Text,7.435508345978755
1104,2023-03-03 09:06:25.000,General ,INSTAGRAM,Evil Exhibited ,10183,112,Video,1.0998723362466858
1105,2023-03-03 09:00:08.000,General ,TIKTOK_BUSINESS,Evil Exhibited ,403,15,Video,3.722084367245657
1106,2023-03-03 09:00:06.503,Valorant,YOUTUBE,Evil Exhibited ,56,5,Video,8.928571428571429
1108,2023-03-03 08:27:04.539,DOTA2,TWITTER,N/A ,1074,75,Text,6.983240223463687
1109,2023-03-03 08:23:41.120,DOTA2,TWITTER,N/A ,514,44,Video,8.560311284046692
1110,2023-03-03 08:18:56.909,General ,TWITTER,Community Engagement ,26373,1753,Video,6.646949531718045
1111,2023-03-03 08:18:18.000,General ,FBPAGE,Community Engagement ,90982,14091,Video,15.487678881537006
1112,2023-03-03 08:17:06.737,DOTA2,TWITTER,Community Engagement ,5932,251,Photo,4.231287929871881
1113,2023-03-03 08:17:06.000,General ,FBPAGE,Community Engagement ,32911,4127,Photo,12.539880283187992
1115,2023-03-03 08:06:02.115,DOTA2,TWITTER,Community Engagement ,3031,204,Photo,6.730451996040911
1116,2023-03-03 08:06:01.000,General ,FBPAGE,Community Engagement ,28110,3214,Photo,11.43365350409107
1118,2023-03-03 08:01:02.233,DOTA2,TWITTER,N/A ,342,14,Text,4.093567251461988
1120,2023-03-03 07:29:43.261,DOTA2,TWITTER,N/A ,270,16,Text,5.9259259259259265
1121,2023-03-03 07:03:26.000,General ,INSTAGRAM,Community Engagement ,11688,0,Photo,0.0
1122,2023-03-03 07:02:58.076,DOTA2,TWITTER,Community Engagement ,2578,126,Photo,4.887509697439875
1123,2023-03-03 07:02:58.000,General ,FBPAGE,Community Engagement ,16752,1345,Photo,8.028892072588349
1124,2023-03-03 07:02:58.000,General ,INSTAGRAM,Community Engagement ,12706,0,Photo,0.0
1125,2023-03-03 07:00:58.025,General ,TWITTER,Community Engagement ,11531,183,Photo,1.587026276992455
1126,2023-03-03 07:00:58.000,General ,FBPAGE,Community Engagement ,15167,538,Photo,3.5471747873673105
1127,2023-03-03 06:45:34.000,General ,INSTAGRAM,Community Engagement ,34057,3559,Photo,10.450127727045835
1128,2023-03-03 06:45:30.000,General ,FBPAGE,Community Engagement ,37989,4481,Photo,11.795519755718761
1129,2023-03-03 06:45:24.140,General ,TWITTER,Community Engagement ,16508,345,Photo,2.089895808093046
1132,2023-03-03 05:53:27.470,DOTA2,TWITTER,N/A ,1226,41,Photo,3.3442088091353996
1133,2023-03-03 05:52:44.496,DOTA2,TWITTER,Community Engagement ,3007,118,Photo,3.9241769205187897
1134,2023-03-03 05:52:43.000,General ,FBPAGE,Community Engagement ,41082,4065,Photo,9.894844457426611
1135,2023-03-02 16:37:59.078,DOTA2,TWITTER,N/A ,2441,438,Video,17.943465792707908
1136,2023-03-02 15:56:40.498,DOTA2,TWITTER,Community Engagement ,1469,36,Photo,2.450646698434309
1137,2023-03-02 15:56:39.000,General ,FBPAGE,Community Engagement ,35249,5114,Photo,14.508212998950325
1138,2023-03-02 15:55:59.397,General ,TWITTER,Community Engagement ,54248,969,Photo,1.7862409674089368
1139,2023-03-02 15:30:04.570,General ,TWITTER,Community Engagement ,2003,76,Video,3.794308537194209
1140,2023-03-02 15:29:45.745,General ,TWITTER,Community Engagement ,15845,536,Video,3.3827705900915115
1141,2023-03-02 15:05:07.307,General ,TWITTER,Community Engagement ,27080,217,Photo,0.8013293943870015
1142,2023-03-02 15:05:00.033,DOTA2,TWITTER,Community Engagement ,929,10,Photo,1.0764262648008611
1143,2023-03-02 15:04:59.000,General ,FBPAGE,Community Engagement ,30271,2149,Photo,7.099203858478412
1144,2023-03-02 14:00:33.000,General ,INSTAGRAM,Evergreen ,11161,169,Video,1.514201236448347
1145,2023-03-02 14:00:06.000,General ,TIKTOK_BUSINESS,Evergreen ,30673,2256,Video,7.355002771166824
1146,2023-03-02 14:00:04.908,General ,YOUTUBE,Evergreen ,1290,53,Video,4.108527131782946
1147,2023-03-02 12:00:06.734,General,LINKEDIN_COMPANY,Community Engagement ,961,16,Photo,1.664932362122789
1148,2023-03-02 12:00:02.363,General ,TWITTER,Community Engagement ,50625,621,Photo,1.2266666666666668
1149,2023-03-01 15:18:17.315,DOTA2,TWITTER,N/A ,17361,2060,Photo,11.865675940326017
1150,2023-03-01 15:12:30.227,DOTA2,TWITTER,N/A ,529,12,Text,2.2684310018903595
1151,2023-03-01 14:58:30.507,DOTA2,TWITTER,N/A ,910,52,Text,5.714285714285714
1152,2023-03-01 14:56:17.130,DOTA2,TWITTER,N/A ,288,4,Text,1.3888888888888888
1153,2023-03-01 14:55:54.783,DOTA2,TWITTER,Community Engagement ,8072,662,Photo,8.201189296333004
1154,2023-03-01 14:55:53.000,General ,FBPAGE,Community Engagement ,44578,11592,Photo,26.0038584054915
1155,2023-03-01 14:51:47.806,DOTA2,TWITTER,N/A ,892,28,Text,3.1390134529147984
1156,2023-03-01 14:49:27.439,DOTA2,TWITTER,Community Engagement ,9142,503,Photo,5.502078319842485
1158,2023-03-01 13:41:26.800,DOTA2,TWITTER,Community Engagement ,4583,166,Photo,3.622081605934977
1159,2023-03-01 13:41:25.000,General ,FBPAGE,Community Engagement ,38798,6510,Photo,16.77921542347544
1160,2023-03-01 13:29:00.365,DOTA2,TWITTER,Community Engagement ,5427,1023,Video,18.85019347705915
1162,2023-03-01 13:22:56.225,DOTA2,TWITTER,N/A ,186,4,Text,2.1505376344086025
1163,2023-03-01 13:21:52.187,DOTA2,TWITTER,N/A ,4852,228,Photo,4.699093157460841
1164,2023-03-01 13:12:16.373,DOTA2,TWITTER,N/A ,405,7,Text,1.728395061728395
1165,2023-03-01 13:08:01.996,DOTA2,TWITTER,N/A ,5033,400,Text,7.94754619511226
1166,2023-03-01 12:47:38.348,DOTA2,TWITTER,N/A ,382,13,Text,3.4031413612565444
1167,2023-03-01 12:30:35.382,DOTA2,TWITTER,N/A ,811,45,Text,5.548705302096177
1168,2023-03-01 12:25:20.000,General ,INSTAGRAM,N/A ,11081,0,Photo,0.0
1169,2023-03-01 12:25:11.000,General ,FBPAGE,Community Engagement ,14299,630,Photo,4.405902510665081
1170,2023-03-01 12:25:10.960,General ,TWITTER,Community Engagement ,21726,457,Photo,2.1034704961796926
1172,2023-03-01 12:23:59.000,General ,FBPAGE,Community Engagement ,22602,2139,Photo,9.463764268648792
1173,2023-03-01 12:23:58.096,DOTA2,TWITTER,Community Engagement ,4556,110,Photo,2.4143985952589992
1174,2023-03-01 12:08:20.000,General ,INSTAGRAM,Evil Exhibited ,10215,127,Video,1.2432697014194811
1175,2023-03-01 12:00:13.000,General ,TIKTOK_BUSINESS,Evil Exhibited ,480,13,Video,2.7083333333333335
1176,2023-03-01 12:00:09.572,Valorant,YOUTUBE,Evil Exhibited ,34,3,Video,8.823529411764707
1177,2023-03-01 10:19:59.000,General ,FBPAGE,Community Engagement ,47393,4353,Photo,9.184900723735574
1178,2023-03-01 10:16:48.508,General ,TWITTER,Community Engagement ,29705,698,Photo,2.349772765527689
1179,2023-03-01 09:06:50.000,General ,INSTAGRAM,Evergreen ,13030,148,Video,1.13584036838066
1180,2023-03-01 09:00:09.000,General ,TIKTOK_BUSINESS,Evergreen ,476,13,Video,2.73109243697479
1181,2023-03-01 09:00:08.716,General ,YOUTUBE,Evergreen ,310,4,Video,1.2903225806451613
1182,2023-03-01 09:00:03.685,General ,TWITTER,Community Engagement ,11724,20,Link,0.17059024223814398
1183,2023-03-01 09:00:03.221,General ,TWITTER,Community Engagement ,12082,29,Link,0.2400264856811786
1184,2023-03-01 09:00:02.761,General ,TWITTER,Community Engagement ,3012,11,Link,0.36520584329349265
1185,2023-03-01 09:00:01.846,General ,TWITTER,Community Engagement ,3111,16,Link,0.5143040822886531
1186,2023-03-01 09:00:01.611,General,LINKEDIN_COMPANY,Community Engagement ,2190,30,Link,1.36986301369863
1187,2023-03-01 09:00:00.699,General ,TWITTER,Community Engagement ,18318,157,Text,0.8570804672999236
1188,2023-03-01 07:26:47.528,DOTA2,TWITTER,N/A ,1575,54,Photo,3.428571428571429
1190,2023-03-01 07:25:19.632,DOTA2,TWITTER,Community Engagement ,5282,458,Photo,8.670957970465732
1193,2023-02-28 18:07:19.334,CSGO,TWITTER,Community Engagement ,2432,84,Text,3.453947368421053
1194,2023-02-28 17:06:09.417,CSGO,TWITTER,Community Engagement ,3921,99,Photo,2.5248661055853097
1195,2023-02-28 16:35:44.235,DOTA2,TWITTER,N/A ,1291,67,Text,5.189775367931835
1196,2023-02-28 15:44:05.016,DOTA2,TWITTER,N/A ,691,14,Text,2.0260492040520983
1197,2023-02-28 15:31:29.520,General ,TWITTER,Community Engagement ,2014,76,Text,3.7735849056603774
1198,2023-02-28 15:29:06.658,DOTA2,TWITTER,Community Engagement ,8105,540,Photo,6.662553979025293
1200,2023-02-28 15:28:31.068,General ,TWITTER,Community Engagement ,30645,856,Photo,2.7932778593571546
1201,2023-02-28 15:28:31.000,General ,FBPAGE,Community Engagement ,18890,2477,Photo,13.112758073054525
1202,2023-02-28 15:25:09.723,DOTA2,TWITTER,Community Engagement ,3027,296,Video,9.778658738024447
1203,2023-02-28 15:24:47.000,General ,FBPAGE,Community Engagement ,16448,2587,Video,15.728356031128405
1204,2023-02-28 14:58:53.943,DOTA2,TWITTER,Community Engagement ,1299,31,Text,2.386451116243264
1205,2023-02-28 14:58:53.000,General ,FBPAGE,Community Engagement ,27657,3696,Text,13.363705391040243
1206,2023-02-28 14:54:44.482,DOTA2,TWITTER,N/A ,2797,124,Photo,4.433321415802646
